# NEPTS   102 NPROJ     6 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
  9.5334E-01  1.9463E+01  7.1015E-01  3.1957E+00  6.7598E-01  1.0639E+00  6.0089E+01
  9.7673E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0001E+00 -2.8120E+00  1.7830E-02 -5.6281E-02 -2.3902E-01 -3.1291E-01 -8.0211E+00
  1.0235E+00  1.8903E+01  8.4235E-01 -5.4836E-02  1.9163E+00  2.5757E+00  5.7240E+01
  1.0469E+00  1.3969E+01  4.8593E-01 -2.6362E-01  1.5433E+00  2.2897E+00  4.3186E+01
  1.0703E+00  5.1350E+01  2.9810E+00  2.8215E+00  4.2147E+00  3.4966E+00  1.5079E+02
  1.0937E+00  3.3750E+01  2.0185E+00  2.0492E+00  2.6494E+00  1.6602E+00  9.6971E+01
  1.1171E+00  1.2389E+00 -9.3037E-02 -2.8930E-01  1.3470E-01  2.9597E-01  2.8573E+00
  1.1405E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1639E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1873E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2106E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2340E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2574E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2808E+00  1.1919E+02  1.7879E-01  5.1091E+00  4.4747E+00  4.1956E+00  2.9386E+02
  1.3042E+00  2.3380E+01  1.2577E-01  1.4425E-02  6.0721E-01  8.1859E-01  5.2773E+01
  1.3276E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
# EFERMI (HARTREE)   -0.38441
